CS:EIP     	Symbol + Offset                                                                                                                                                                                                                                                     	64-bit 	CPU clocks 	IPC  	DC miss rate 	DTLB L1M L2M rate 	Misalign rate 	Mispredict rate 	
0x151e5b40 	CBufferDynamic::Write                                                                                                                                                                                                                                               	       	12         	0.50 	0.02         	0                 	0             	0.02            	
0x151ccf50 	CSystem::HandleOSMessages                                                                                                                                                                                                                                           	       	12         	0.42 	0.08         	0.04              	0             	0               	
0x15183230 	CPacket::Write                                                                                                                                                                                                                                                      	       	12         	0.58 	0.06         	0                 	0             	0               	
0x1516ba70 	CVoiceManager::Frame                                                                                                                                                                                                                                                	       	12         	0.17 	0.05         	0.05              	0             	0               	
0x1507e880 	IBuffer::WriteShort                                                                                                                                                                                                                                                 	       	12         	0.75 	0            	0                 	0             	0               	
0x15075580 	CWorld::GetVertFromCoord                                                                                                                                                                                                                                            	       	12         	0.17 	0            	0                 	0             	0               	
0x1503ae20 	CBufferFixed<8185>::Read                                                                                                                                                                                                                                            	       	12         	1.50 	0            	0                 	0             	0.02            	
0x15033170 	CPath::GetGoal                                                                                                                                                                                                                                                      	       	12         	0.17 	0.20         	0                 	0             	0.05            	
0x150148d0 	std::vector<unsigned int,std::allocator<unsigned int> >::_Insert_n                                                                                                                                                                                                  	       	12         	0.42 	0            	0                 	0             	0.04            	
0x1500bba0 	IBuffer::Rewind                                                                                                                                                                                                                                                     	       	12         	1.33 	0.03         	0                 	0             	0.01            	
0x151bb7b0 	CHost::UpdateTime                                                                                                                                                                                                                                                   	       	11         	0.09 	0            	0                 	0             	0               	
0x15135b20 	CWorldTree::LinkBounds                                                                                                                                                                                                                                              	       	11         	0.73 	0.01         	0                 	0             	0               	
0x15024dd0 	std::_Tree<std::_Tset_traits<unsigned int,std::less<unsigned int>,std::allocator<unsigned int>,0> >::_Erase                                                                                                                                                         	       	11         	0.82 	0            	0                 	0             	0               	
0x15013290 	CVec3<float>::operator+                                                                                                                                                                                                                                             	       	11         	0.73 	0.05         	0                 	0             	0.01            	
0x1526d270 	CClientConnection::ProcessOutOfSequencePackets                                                                                                                                                                                                                      	       	10         	0.30 	0            	0.40              	0.03          	0               	
0x1526c5d0 	CClientConnection::WriteSnapshot                                                                                                                                                                                                                                    	       	10         	0.30 	0.10         	0                 	0             	0.03            	
0x1526ba40 	CClientConnection::SendStateStrings                                                                                                                                                                                                                                 	       	10         	0    	0            	0                 	0             	0               	
0x151a6ae0 	CRasterBuffer::CalcVisibilty                                                                                                                                                                                                                                        	       	10         	0.30 	0            	0                 	0             	0               	
0x15183c20 	CPacket::ReadInt                                                                                                                                                                                                                                                    	       	10         	0.20 	0            	0                 	0             	0               	
0x151302f0 	CNavigationGraph::BuildResult                                                                                                                                                                                                                                       	       	10         	0.90 	0            	0                 	0             	0               	
0x1503f6c0 	CEntitySnapshot::WriteDiffField                                                                                                                                                                                                                                     	       	10         	1.10 	0            	0                 	0             	0               	
0x15276750 	CVoiceServer::Frame                                                                                                                                                                                                                                                 	       	9          	0.22 	0.15         	0                 	0             	0.05            	
0x151acec0 	CHostServer::UpdateClients                                                                                                                                                                                                                                          	       	9          	0    	0            	0                 	0             	0               	
